eliability :  0.623, time : 1540426000.000
0.104, reliability :  0.704, time : 1540402000.000
mean :  0.202, stdev :  0.277, reliability : -0.371, time : 1548704800.000
mean :  0.197, stdev :  0.275, reliability : -0.395, time : 1548726900.000
mean :  0.201, stdev :  0.277, reliability : -0.375, time : 1548750500.000
mean :  0.203, stdev :  0.281, reliability : -0.383, time : 1548772400.000
mean :  0.199, stdev :  0.279, reliability : -0.399, time : 1548793700.000
mean :  0.202, stdev :  0.279, reliability : -0.377, time : 1548817700.000
mean :  0.207, stdev :  0.282, reliability : -0.363, time : 1548839700.000
mean :  0.200, stdev :  0.279, reliability : -0.394, time : 1548861800.000
mean :  0.207, stdev :  0.283, reliability : -0.369, time : 1548884700.000
mean :  0.205, stdev :  0.282, reliability : -0.373, time : 1548906900.000
mean :  0.198, stdev :  0.279, reliability : -0.404, time : 1548930300.000
mean :  0.204, stdev :  0.277, reliability : -0.358, time : 1548951900.000
mean :  0.202, stdev :  0.277, reliability : -0.374, time : 1548973700.000
mean :  0.200, stdev :  0.276, reliability : -0.384, time : 1548997400.000
mean :  0.205, stdev :  0.279, reliability : -0.360, time : 1549019300.000
mean :  0.205, stdev :  0.282, reliability : -0.379, time : 1549041000.000
mean :  0.205, stdev :  0.281, reliability : -0.370, time : 1549064300.000
mean :  0.205, stdev :  0.280, reliability : -0.366, time : 1549086300.000
mean :  0.206, stdev :  0.283, reliability : -0.374, time : 1549110000.000
