v
  0.176, reliability : -0.545, time : 220393970.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 227128900.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 227152030.000
mean :  4.764, stdev :  0.292, reliability :  0.939, time : 227175180.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 227198400.000
mean :  4.760, stdev :  0.293, reliability :  0.938, time : 227221570.000
mean :  4.765, stdev :  0.293, reliability :  0.938, time : 227244750.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 227267860.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 227291040.000
mean :  4.762, stdev :  0.292, reliability :  0.939, time : 227314220.000
mean :  4.759, stdev :  0.293, reliability :  0.938, time : 227337340.000
mean :  4.765, stdev :  0.293, reliability :  0.938, time : 227360530.000
mean :  4.762, stdev :  0.291, reliability :  0.939, time : 227383660.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 227406830.000
mean :  4.767, stdev :  0.292, reliability :  0.939, time : 227430020.000
mean :  4.759, stdev :  0.292, reliability :  0.939, time : 227453140.000
mean :  4.764, stdev :  0.293, reliability :  0.939, time : 227476320.000
mean :  4.762, stdev :  0.290, reliability :  0.939, time : 227499500.000
mean :  4.759, stdev :  0.291, reliability :  0.939, time : 227522640.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 227545820.000
mean :  4.758, stdev :  0.293, reliability :  0.938, time : 227569010.000
mean :  4.760, stdev :  0.291, reliability :  0.939, time : 227592180.000
mean :  4.758, stdev :  0.292, reliability :  0.939, time : 227615380.000
mean :  4.755, stdev :  0.294, reliability :  0.938, time : 227638510.000
mean :  4.761, stdev :  0.293, reliability :  0.938, time : 227661680.000
mean :  4.758, stdev :  0.291, reliability :  0.939, time : 227684780.000
mean :  4.758, stdev :  0.291, reliability :  0.939, time : 227707980.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 227731170.000
mean :  4.757, stdev :  0.294, reliability :  0.938, time : 227754350.000
mean :  4.767, stdev :  0.292, reliability :  0.939, time : 227777540.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 227800670.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 227823840.000
mean :  4.767, stdev :  0.291, reliability :  0.939, time : 227847010.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 227870160.000
mean :  4.769, stdev :  0.290, reliability :  0.939, time : 227893330.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 227916530.000
mean :  4.759, stdev :  0.292, reliability :  0.939, time : 227939700.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 227962880.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 227986050.000
