mean :  4.594, stdev :  0.431, reliability :  0.906, time : 2101964400.000
mean :  4.637, stdev :  0.423, reliability :  0.909, time : 2101987800.000
mean :  4.628, stdev :  0.423, reliability :  0.909, time : 2102011100.000
mean :  4.638, stdev :  0.422, reliability :  0.909, time : 2102032600.000
mean :  4.638, stdev :  0.417, reliability :  0.910, time : 2102059100.000
mean :  4.628, stdev :  0.423, reliability :  0.909, time : 2102079600.000
mean :  4.639, stdev :  0.422, reliability :  0.909, time : 2102103900.000
mean :  4.620, stdev :  0.422, reliability :  0.909, time : 2102126500.000
mean :  4.591, stdev :  0.438, reliability :  0.905, time : 2102148100.000
mean :  4.601, stdev :  0.437, reliability :  0.905, time : 2102174500.000
mean :  4.586, stdev :  0.440, reliability :  0.904, time : 2102194900.000
mean :  4.598, stdev :  0.438, reliability :  0.905, time : 2102220300.000
mean :  4.589, stdev :  0.435, reliability :  0.905, time : 2102241800.000
mean :  4.582, stdev :  0.437, reliability :  0.905, time : 2102264200.000
mean :  4.028, stdev :  0.946, reliability :  0.765, time : 2102289400.000
mean :  0.348, stdev :  0.346, reliability :  0.008, time : 2102310500.000
mean :  0.300, stdev :  0.326, reliability : -0.087, time : 2102335600.000
mean :  0.467, stdev :  0.501, reliability : -0.073, time : 2102356500.000
mean :  0.371, stdev :  0.366, reliability :  0.012, time : 2102378100.000
mean :  0.421, stdev :  0.389, reliability :  0.074, time : 2102403800.000
mean :  0.364, stdev :  0.349, reliability :  0.043, time : 2102423900.000
mean :  0.360, stdev :  0.355, reliability :  0.013, time : 2102448000.000
mean :  0.360, stdev :  0.352, reliability :  0.022, time : 2102469900.000
mean :  0.366, stdev :  0.352, reliability :  0.037, time : 2102491400.000
mean :  0.362, stdev :  0.351, reliability :  0.029, time : 2102517200.000
mean :  0.363, stdev :  0.353, reliability :  0.027, time : 2102537600.000
mean :  0.354, stdev :  0.344, reliability :  0.028, time : 2102559500.000
mean :  0.734, stdev :  0.814, reliability : -0.109, time : 2102584300.000
mean :  0.785, stdev :  0.937, reliability : -0.193, time : 2102604900.000
mean :  1.143, stdev :  1.000, reliability :  0.125, time : 2102629000.000
mean :  0.704, stdev :  0.815, reliability : -0.158, time : 2102650800.000
