mean :  1.706, stdev :  1.258, reliability :  0.263, time : 281607140.000
mean :  1.723, stdev :  1.239, reliability :  0.281, time : 281629890.000
mean :  1.667, stdev :  1.245, reliability :  0.253, time : 281652740.000
mean :  1.706, stdev :  1.255, reliability :  0.264, time : 281675390.000
mean :  1.705, stdev :  1.245, reliability :  0.270, time : 281698180.000
mean :  1.666, stdev :  1.240, reliability :  0.256, time : 281720960.000
mean :  1.707, stdev :  1.257, reliability :  0.264, time : 281743580.000
mean :  1.684, stdev :  1.257, reliability :  0.254, time : 281766370.000
mean :  1.687, stdev :  1.247, reliability :  0.261, time : 281789150.000
mean :  1.716, stdev :  1.253, reliability :  0.270, time : 281811840.000
mean :  1.670, stdev :  1.254, reliability :  0.249, time : 281834660.000
mean :  1.706, stdev :  1.256, reliability :  0.264, time : 281857340.000
mean :  1.723, stdev :  1.242, reliability :  0.279, time : 281880100.000
mean :  1.672, stdev :  1.251, reliability :  0.251, time : 281902910.000
mean :  1.708, stdev :  1.258, reliability :  0.264, time : 281925570.000
mean :  1.711, stdev :  1.243, reliability :  0.274, time : 281948320.000
mean :  1.678, stdev :  1.248, reliability :  0.256, time : 281971140.000
mean :  1.712, stdev :  1.257, reliability :  0.266, time : 281993820.000
mean :  1.690, stdev :  1.254, reliability :  0.258, time : 282016580.000
mean :  1.681, stdev :  1.244, reliability :  0.260, time : 282039420.000
mean :  1.715, stdev :  1.249, reliability :  0.272, time : 282062080.000
mean :  1.669, stdev :  1.249, reliability :  0.251, time : 282084900.000
mean :  1.696, stdev :  1.249, reliability :  0.263, time : 282107520.000
mean :  1.712, stdev :  1.240, reliability :  0.276, time : 282130270.000
mean :  1.658, stdev :  1.246, reliability :  0.248, time : 282153090.000
mean :  1.702, stdev :  1.256, reliability :  0.262, time : 282175780.000
mean :  1.708, stdev :  1.237, reliability :  0.276, time : 282198560.000
mean :  1.670, stdev :  1.244, reliability :  0.255, time : 282221340.000
mean :  1.705, stdev :  1.254, reliability :  0.264, time : 282244000.000
mean :  1.691, stdev :  1.254, reliability :  0.259, time : 282266820.000
mean :  1.672, stdev :  1.243, reliability :  0.257, time : 282289630.000
mean :  1.702, stdev :  1.246, reliability :  0.268, time : 282312290.000
mean :  1.659, stdev :  1.247, reliability :  0.248, time : 282335070.000
mean :  1.686, stdev :  1.250, reliability :  0.259, time : 282357730.000
mean :  1.713, stdev :  1.240, reliability :  0.276, time : 282380450.000
mean :  1.657, stdev :  1.248, reliability :  0.247, time : 282403260.000
mean :  1.695, stdev :  1.257, reliability :  0.258, time : 282425950.000
mean :  1.717, stdev :  1.234, reliability :  0.281, time : 282448740.000
