 0.000, reliability :    NAN, time : 583165700.000
mean :  0.053, stdev :  0.023, reliability :  0.558, time : 588272450.000
mean :  0.048, stdev :  0.022, reliability :  0.538, time : 588295420.000
mean :  0.043, stdev :  0.021, reliability :  0.512, time : 588318530.000
mean :  0.038, stdev :  0.020, reliability :  0.481, time : 588341820.000
mean :  0.035, stdev :  0.019, reliability :  0.462, time : 588364670.000
mean :  0.031, stdev :  0.018, reliability :  0.425, time : 588387650.000
mean :  0.028, stdev :  0.017, reliability :  0.396, time : 588410820.000
mean :  0.024, stdev :  0.016, reliability :  0.347, time : 588433920.000
mean :  0.022, stdev :  0.015, reliability :  0.304, time : 588457150.000
mean :  0.019, stdev :  0.014, reliability :  0.265, time : 588480260.000
mean :  0.017, stdev :  0.013, reliability :  0.210, time : 588503300.000
mean :  0.014, stdev :  0.012, reliability :  0.133, time : 588526460.000
mean :  0.013, stdev :  0.012, reliability :  0.081, time : 588549310.000
mean :  0.011, stdev :  0.011, reliability : -0.006, time : 588572100.000
mean :  0.009, stdev :  0.010, reliability : -0.137, time : 588595200.000
mean :  0.007, stdev :  0.009, reliability : -0.242, time : 588618050.000
mean :  0.006, stdev :  0.008, reliability : -0.455, time : 588641020.000
mean :  0.004, stdev :  0.007, reliability : -0.643, time : 588663680.000
mean :  0.003, stdev :  0.006, reliability : -1.065, time : 588686460.000
mean :  0.002, stdev :  0.005, reliability : -1.488, time : 588708670.000
mean :  0.001, stdev :  0.004, reliability : -2.025, time : 588730880.000
mean :  0.001, stdev :  0.004, reliability : -2.419, time : 588752900.000
mean :  0.000, stdev :  0.003, reliability : -4.731, time : 588775170.000
mean :  0.000, stdev :  0.002, reliability : -6.055, time : 588797120.000
mean :  0.000, stdev :  0.001, reliability : -9.027, time : 588819070.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 588841280.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588863230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588884220.000
mean :  0.000, stdev :  0.001, reliability : -16.424, time : 588905410.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588927680.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588948670.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588969600.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 588990720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589011780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589032960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589054140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589075200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589096190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589117180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589138240.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589159360.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589180480.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589201660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589222720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589243780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589264700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589285760.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589306880.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589328000.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589349120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589370180.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589391230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589412100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589433220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589454340.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589475460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589496640.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589517700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589538690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589559740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589580670.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589601860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589622980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589644160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 589665220.000
