0.000, reliability :    NAN, time : 853358020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859563200.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859584260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859605250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859627010.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859647420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859669060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859689540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859710910.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859732220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859752960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859774780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859795070.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859816770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859837380.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859858690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859880060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859900740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859922690.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859942720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859964350.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859985150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860006400.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860027970.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860048450.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860070270.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860090560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860112060.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860132990.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860154050.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860175740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860196220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860217920.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860238340.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860259710.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860280900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860301700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860323650.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860343810.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860365440.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860386110.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860407420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860428670.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860449410.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860471360.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860491460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860513150.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860533890.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860555070.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860576510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860597120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860619010.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860639230.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860660800.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860681660.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860702720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860724420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860744830.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860766720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860787010.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860808450.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860829500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860850430.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860872190.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860892610.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860914300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860934780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860956100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860977410.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 860998210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861020160.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861040260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861061890.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861082430.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861103740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861125120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861145860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861167680.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861187780.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861209470.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861230270.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861251520.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861272960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861293500.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861315390.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861335490.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861357120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861377980.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861399040.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861420740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861441220.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861463040.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861483260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861504770.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861525820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861546750.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861568510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861588930.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861610560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861631040.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861652420.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861673730.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861694460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 861716290.000
